Pantone,L*,a*,b*,DC21-001 Extender,DC21-101 Bright Red,DC21-102 Rubine,DC21-114 Rhodamine,DC21-201 Orange,DC21-304 Yellow,DC21-402 Green,DC21-501 Process Blue,DC21-604 Violet,DC21-802 Black
PANTONE 2224 C,38.93,-22.83,-24.15,9.39,0,0,31.24,0,0.59,58.78,0,0,0
PANTONE 2225 C,79.5,-25.84,-20.01,93.39,0,0,0,0,0,1.91,4.7,0,0
PANTONE 2226 C,74.23,-33.82,-23.82,88.31,0,0,0,0,0,4.4,7.29,0,0
PANTONE 2227 C,70.99,-27.53,-19.25,85.4,0,0,0,0,0,9.86,3.15,1.59,0
PANTONE 2228 C,57.63,-52.4,-32.11,59.47,0,0,0,0.02,0,17.34,23.17,0,0
PANTONE 2229 C,53.9,-53.49,-33.54,49.69,0,0,0,0,0,21.8,28.1,0.41,0
PANTONE 223 C,73.13,42.91,-18.61,84.07,0,0,15.93,0,0,0,0,0,0
PANTONE 2230 C,50.07,-38.9,-26.45,43.08,0,0,10.47,0,0,35.08,11.37,0,0
PANTONE 2231 C,43.78,-39.19,-27.48,22.91,0,0,15.53,0,0,47.81,13.75,0,0
PANTONE 2232 C,67.06,-19.46,-12.71,87.88,0,0,0,2.82,0,0,8.42,0,0.88
PANTONE 2233 C,63.21,-23.08,-15.61,75.93,0,0,0,1.05,0,18.78,0,4.24,0
PANTONE 2234 C,60.12,-23.99,-14.59,71.27,0,0,0,1.82,0,22.08,0,4.83,0
PANTONE 2235 C,55.1,-27.74,-17.07,64.06,0,0,0,0,0,28.25,0,5.52,2.17
PANTONE 2236 C,54.28,-27.37,-16.15,75.42,0,0,0,0,0,6.24,11.74,0,6.6
PANTONE 2237 C,49.99,-28.99,-16.37,69.52,0,0,0,0,0,8.04,14.12,0,8.32
PANTONE 2238 C,37.73,-31.93,-18.73,13.11,9.69,0,0,0,0,67.12,0,10.08,0
